audiocap_id,youtube_id,start_time,caption
89370,pgLXVFvo5GI,27,a woman laughs and speaks while birds vocalize and water splashes
89371,pgN-Why-duY,0,a large vehicle idling accompanied by rapid beeping noises and followed by a several artillery shots
89373,pgSCmHYy0eQ,320,several ducks quack while some liquid splashes
89374,pgVhbq6W3Ow,30,hissing noises from steam followed by a man talking
89375,pgYs-4Trnek,120,an objects is being crumpled
89377,pg_M-c09uSc,30,a steam engine runs and hisses loudly
89378,pgeooj3u3CM,200,a woman is talking the whole time something is sprayed a few times in the middle
89379,pgl_pG7j7d8,170,a man talks nearby as water pours out of a faucet
5988,1OIVJfQTGVk,30,engine revving loudly
5989,1OIm8vLHCwo,19,an adult female speaks and a cat meows
5982,1O662rM-u0E,30,a whoosh sound is heard loudly as a car revs its engines
5983,1O7-QuhweZE,19,children screaming in the background as the sound of water flowing by
5980,1O2vHreD6eI,60,"a motor vehicle engine is running, a decelerating buzzing occurs, mechanical whines occur, and the motor vehicle engine accelerates"
5981,1O5u-mBU2JI,30,"a man speaking in a foreign language, can hear doves in the background"
5986,1OCyUeuv2-Q,40,men speaking then sneezing
5987,1OI6GPNHhLg,30,a man speaks slowly and with strength
5984,1OB2TC-aAqY,30,a horse galloping
5985,1OCv1wCGK-s,30,"a child screams, an adult male is talking and vehicles are revvying"
82449,kZNffIjmWKs,90,quacking with water splashing
82448,kZMrAvYVtA4,10,a motorcycle accelerating into a distance
82441,kZ7_b_VVumc,140,splashing water with children speaking
73624,e653222Cd-E,190,some object is rubbed
54545,RmJGM9noeBI,10,an aircraft passes overhead as people speak
97159,vg0pMZ8biWQ,50,an emergency vehicle siren wails and engine runs
97158,vfu4-qlRrJY,10,a man speaks and birds chirp while an insect buzzes and wind blows
97153,vfkrYX2bmRM,100,music plays and hissing occurs
97152,vfbOX5T8YDk,30,steam hissing as a train runs slowly on railroad tracks as gears crank and rumble
97150,vfX1OQpJ-6U,0,a motor runs and knocks while wind blows
97157,vfs_zghsQTA,400,a woman speaks while birds tweet
97155,vfrN6h4vQiY,10,an engine is accelerated making vroom
97154,vfqR3TjCfUs,0,several church bells ringing loudly all at once
270,-5weqk40jaI,17,Strong wind against the microphone simultaneously with heavy rain.
273,-62RXhX5GZk,30,a dog grunts and an adult male speaks
274,-64ZmjOBlE8,20,water being turned on and off
275,-65gZY_yF3o,17,helicopter rotors drumming and squeaking bird
276,-668dhzzDQE,30,car engine sound in car race
277,-67q0yYR0zk,24,people in a small crowd are speaking and a dog barks
278,-68677bCJWM,16,distressed cat growling and hissing violently while woman laughs  and talks
279,-68L7q5JlL4,30,wind against a microphone on a speeding car
16707,5sfQQb6HpSc,210,A whistle and another man speaks and the whistling stops.
16706,5seYj-vSnEc,140,"two men exchange words, then a car engine revs followed by a siren and fade in music"
16701,5sWgFNwk5zY,20,someone firing a gun with others talking in the background
16700,5sTt2AMCjSA,30,a car is racing away very fast and its tires squeal a little
16703,5sZnJLp9We4,2,a loud siren whizzes past
16702,5sXK2pdYAwg,20,a woman hiccups and then women laugh and speak
88023,ogXzNVUU3Xk,20,"coughing by woman and child, then woman and child speaking"
88022,ogXjAPld6YU,30,pigeons coo and move around as humming occurs
88020,ogX9HYbylPA,20,a child laughs repeatedly
88027,ogaxY1I6MhM,260,birds chirp as a vehicle passes by
88026,og_nfmnT-xA,0,a child laughs repeatedly and a woman makes noises
88025,og_JH9cxUeg,30,small frogs croak and chirp
88024,ogZSG1rnEzY,150,hissing occurs with a light squeaking followed by a horn blowing while humming takes place
88028,ogcLvIf0h6k,160,an object is crumpled
42085,Ja49kGYYjMQ,10,a toilet flushing followed by a series of whirring noises and a woman talking
79232,iBXl2PXRb-8,50,rustling occurs then a high-pitched tone occurs as people speak in the distance
17258,689OVglGxKE,30,a vehicle revs then explodes while a crowd cheers and an announcer exclaims
17259,68AJ_1alYNg,310,man speaks while bees buzz
100014,xpRBnXZnRm0,370,a man speaking followed by crinkling
